Country,Region,Region Code,Title,Circle,Bath words,STRUT/FOOT contrast,FORCE-NORTH contrast,Happy words,Rhoticity,H-dropping,Medial /t/ glottalisation
UK,Greater London area,,Cockney,Inner Circle,PALM,STRUT,No contrast,FLEECE,No,No,Replacement
UK,North England,,Northern England English,Inner Circle,TRAP,STRUT,No contrast,FLEECE,No,No,Reinforced
UK,Liverpool,,Scouse,Inner Circle,TRAP,Only FOOT,No contrast,FLEECE,No,Yes,Tapping
UK,Newcastle,,Geordie,Inner Circle,TRAP,Only FOOT,No contrast,KIT,No,No,Tapping
WLS,Wales,,Wales English,Inner Circle,,,,,,,
NIR,Northern Ireland,,Northern Irish English,Inner Circle,PALM,Variable,Split,KIT,Yes,No,None
IE,Southern Ireland,,Irish English,Inner Circle,PALM,Variable,Split,FLEECE,Yes,No,None
SCT,Scotland,,Scottish English,Inner Circle,Variable PALM/TRAP,STRUT,Split,FACE,Yes,No,Replacement
CA,Canada,,Canadian English,Inner Circle,TRAP,STRUT,No contrast,FLEECE,Yes,No,Tapping
US,South,,Southern American English,Inner Circle,TRAP,STRUT,No contrast,FLEECE,No,No,Tapping
US,Midwest,,General American,Inner Circle,TRAP,STRUT,No contrast,FLEECE,Yes,No,Tapping
US,All,,African American Vernacular,Inner Circle,TRAP,STRUT,No contrast,FLEECE,No,No,Tapping
US,East Coast,,US East,Inner Circle,,,,,,,
US,West Coast,,US West,Inner Circle,,,,,,,
AU,Australia,,Australian English,Inner Circle,Variable PALM/TRAP,STRUT,No contrast,FLEECE,No,No,Tapping
NZ,New Zealand,,New Zealand English,Inner Circle,Variable PALM/TRAP,STRUT,No contrast,FLEECE,No,No,Tapping
JM,Jamaica,,Jamaican English,Outer Circle,Variable PALM/TRAP,Backed STRUT,No contrast,FLEECE,Yes (partially),Yes,Reinforced
ZA,South Africa,,South African English,Outer Circle,PALM,STRUT,No contrast,KIT-FLEECE,No,No,Reinforced
IN,India,,Indian English,Outer Circle,PALM,STRUT,No contrast,FLEECE,No,No,None
